run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR27937223,SAMN39911794,7724B,Genome sequencing of X. hortorum pv. hederae WHRI 7724B,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,193913253;193979889,919995300,3066651,SPG8-MG1_E2,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/023/SRR27937223/SRR27937223_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/023/SRR27937223/SRR27937223_2.fastq.gz']","194 MB, 194 MB files; 3.1 million reads; 920.0 million sequenced bases"
SRR27937224,SAMN39911783,5889,Genome sequencing of X. hortorum pv. hederae WHRI 5889,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,198580553;198653667,938562600,3128542,SPG8-MG1_B10,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/024/SRR27937224/SRR27937224_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/024/SRR27937224/SRR27937224_2.fastq.gz']","199 MB, 199 MB files; 3.1 million reads; 938.6 million sequenced bases"
SRR28281120,SAMN40354506,MG1_SGP8_G3_8301Rx,Genome sequencing of Xanthomonas euvesicatoria strain WHRI 8301,2024-03-10,USA,Xanthomonas euvesicatoria,165984714;166093033,800237400,2667458,MG1_SGP8_G3_8301Rx,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/020/SRR28281120/SRR28281120_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/020/SRR28281120/SRR28281120_2.fastq.gz']","166 MB, 166 MB files; 2.7 million reads; 800.2 million sequenced bases"
SRR28281419,SAMN40354570,MG1_SGP8_G10_8393,Microbe sample from Xanthomonas sp. WHRI 8393,2024-03-10,Brazil,Xanthomonas sp. WHRI 8393,189746094;189927886,905880900,3019603,MG1_SGP8_G10_8393,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/019/SRR28281419/SRR28281419_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/019/SRR28281419/SRR28281419_2.fastq.gz']","190 MB, 190 MB files; 3.0 million reads; 905.9 million sequenced bases"
SRR28281422,SAMN40354568,MG1_SGP8_G8_8370,Microbe sample from Xanthomonas sp. WHRI 8370,2024-03-10,Not collected,Xanthomonas sp. WHRI 8370,166992144;167213995,803284500,2677615,MG1_SGP8_G8_8370,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/022/SRR28281422/SRR28281422_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/022/SRR28281422/SRR28281422_2.fastq.gz']","167 MB, 167 MB files; 2.7 million reads; 803.3 million sequenced bases"
SRR28281423,SAMN40354567,MG1_SGP8_G7_8356,Microbe sample from Xanthomonas sp. WHRI 8356,2024-03-10,Not collected,Xanthomonas sp. WHRI 8356,177172248;177380190,845423100,2818077,MG1_SGP8_G7_8356,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/023/SRR28281423/SRR28281423_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/023/SRR28281423/SRR28281423_2.fastq.gz']","177 MB, 177 MB files; 2.8 million reads; 845.4 million sequenced bases"
SRR28281425,SAMN40354565,MG1_SGP8_F2_7742,Microbe sample from Xanthomonas hortorum,2024-03-10,Not collected,Xanthomonas hortorum,191415948;191496981,907795500,3025985,MG1_SGP8_F2_7742,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/025/SRR28281425/SRR28281425_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/025/SRR28281425/SRR28281425_2.fastq.gz']","191 MB, 191 MB files; 3.0 million reads; 907.8 million sequenced bases"
SRR28281427,SAMN40354563,MG1_SGP8_D7_7064,Microbe sample from Xanthomonas sp. WHRI 7064,2024-03-10,United Kingdom,Xanthomonas sp. WHRI 7064,187502038;187679647,896020800,2986736,MG1_SGP8_D7_7064,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/027/SRR28281427/SRR28281427_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/027/SRR28281427/SRR28281427_2.fastq.gz']","188 MB, 188 MB files; 3.0 million reads; 896.0 million sequenced bases"
SRR28281429,SAMN40354561,MG1_SGP8_A1_64A,Microbe sample from Xanthomonas dyei,2024-03-10,United Kingdom,Xanthomonas dyei,197262103;197289859,936666000,3122220,MG1_SGP8_A1_64A,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/029/SRR28281429/SRR28281429_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/029/SRR28281429/SRR28281429_2.fastq.gz']","197 MB, 197 MB files; 3.1 million reads; 936.7 million sequenced bases"
SRR28281438,SAMN40354553,MG1_SGP8_B7_5755,Microbe sample from Xanthomonas dyei,2024-03-10,United Kingdom,Xanthomonas dyei,198058415;198115655,937892100,3126307,MG1_SGP8_B7_5755,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/038/SRR28281438/SRR28281438_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/038/SRR28281438/SRR28281438_2.fastq.gz']","198 MB, 198 MB files; 3.1 million reads; 937.9 million sequenced bases"
SRR28281439,SAMN40354552,MG1_SGP8_B6_5726,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-03-10,United Kingdom,Xanthomonas hortorum pv. pelargonii,190452060;190583281,903302400,3011008,MG1_SGP8_B6_5726,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/039/SRR28281439/SRR28281439_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/039/SRR28281439/SRR28281439_2.fastq.gz']","190 MB, 191 MB files; 3.0 million reads; 903.3 million sequenced bases"
SRR28281445,SAMN40354547,MG1_SGP8_A9_5641,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-03-10,United Kingdom,Xanthomonas hortorum pv. pelargonii,194028358;194104638,920077500,3066925,MG1_SGP8_A9_5641,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/045/SRR28281445/SRR28281445_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/045/SRR28281445/SRR28281445_2.fastq.gz']","194 MB, 194 MB files; 3.1 million reads; 920.1 million sequenced bases"
SRR28281451,SAMN40354541,MG1_SGP8_C7_5233,Microbe sample from Xanthomonas oryzae pv. oryzae,2024-03-10,India,Xanthomonas oryzae pv. oryzae,191656296;191781142,901770900,3005903,MG1_SGP8_C7_5233,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/051/SRR28281451/SRR28281451_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/051/SRR28281451/SRR28281451_2.fastq.gz']","192 MB, 192 MB files; 3.0 million reads; 901.8 million sequenced bases"
SRR28281452,SAMN40354540,MG1_SGP8_A3_3810A,Microbe sample from Xanthomonas hortorum,2024-03-10,Portugal,Xanthomonas hortorum,198049806;198055583,935451300,3118171,MG1_SGP8_A3_3810A,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/052/SRR28281452/SRR28281452_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/052/SRR28281452/SRR28281452_2.fastq.gz']","198 MB, 198 MB files; 3.1 million reads; 935.5 million sequenced bases"
SRR28281453,SAMN40354531,MG1_SGP8_A10_5642,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-03-10,United Kingdom,Xanthomonas hortorum pv. pelargonii,190192813;190340458,901876200,3006254,MG1_SGP8_A10_5642,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/053/SRR28281453/SRR28281453_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/053/SRR28281453/SRR28281453_2.fastq.gz']","190 MB, 190 MB files; 3.0 million reads; 901.9 million sequenced bases"
SRR28289734,SAMN40300953,10207Rx,Microbe sample from Xanthomonas sp. WHRI 10207,2024-03-17,Portugal,Xanthomonas sp. WHRI 10207,174168800;174288871,835486800,2784956,SGP7_E7,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/034/SRR28289734/SRR28289734_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/034/SRR28289734/SRR28289734_2.fastq.gz']","174 MB, 174 MB files; 2.8 million reads; 835.5 million sequenced bases"
SRR28289735,SAMN40300952,10208,Microbe sample from Xanthomonas sp. WHRI 10208,2024-03-17,Portugal,Xanthomonas sp. WHRI 10208,175607347;175685142,840598500,2801995,SGP7_E8,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/035/SRR28289735/SRR28289735_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/035/SRR28289735/SRR28289735_2.fastq.gz']","176 MB, 176 MB files; 2.8 million reads; 840.6 million sequenced bases"
SRR28289737,SAMN40300950,10200,Microbe sample from Xanthomonas sp. WHRI 10200,2024-03-17,United Kingdom,Xanthomonas sp. WHRI 10200,174777585;174835556,838260900,2794203,SGP7_E5,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/037/SRR28289737/SRR28289737_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/037/SRR28289737/SRR28289737_2.fastq.gz']","175 MB, 175 MB files; 2.8 million reads; 838.3 million sequenced bases"
SRR30284786,SAMN40354542,MG1_SGP8_C8_5234,Microbe sample from Xanthomonas oryzae pv. oryzicola,2024-08-23,Malaysia,Xanthomonas oryzae pv. oryzicola,1099250634,1180069152,179950,5234_nanopore,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/086/SRR30284786/SRR30284786_1.fastq.gz'],1 GB files; 0.2 million reads; 1180.1 million sequenced bases
SRR30293562,SAMN40354535,MG1_SGP8_H5_8957,Microbe sample from Xanthomonas perforans,2024-08-23,Russia,Xanthomonas perforans,1152684317,1216147891,274410,MG1_8957_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/062/SRR30293562/SRR30293562_1.fastq.gz'],1 GB files; 0.3 million reads; 1216.1 million sequenced bases
SRR30293563,SAMN40354570,MG1_SGP8_G10_8393,Microbe sample from Xanthomonas sp. WHRI 8393,2024-08-23,Brazil,Xanthomonas sp. WHRI 8393,275345602,295012505,30552,MG1_8393Rx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/063/SRR30293563/SRR30293563_1.fastq.gz'],275 MB files; 0.0 million reads; 295.0 million sequenced bases
SRR30293566,SAMN40354567,MG1_SGP8_G7_8356,Microbe sample from Xanthomonas sp. WHRI 8356,2024-08-23,Not collected,Xanthomonas sp. WHRI 8356,865409932,922041516,139673,MG1_8356Rx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/066/SRR30293566/SRR30293566_1.fastq.gz'],865 MB files; 0.1 million reads; 922.0 million sequenced bases
SRR30293567,SAMN40354507,MG1_SGP8_G4_8302,Genome sequencing of Xanthomonas vesicatoria strain WHRI 8302,2024-08-23,Argentina,Xanthomonas vesicatoria,682232351,723246113,109946,MG1_8302_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/067/SRR30293567/SRR30293567_1.fastq.gz'],682 MB files; 0.1 million reads; 723.2 million sequenced bases
SRR30293573,SAMN39911804,7743,Genome sequencing of X. hortorum pv. hederae WHRI 7743,2024-08-23,Denmark,Xanthomonas hortorum pv. hederae,739413877,786829062,116004,MG1_7743_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/073/SRR30293573/SRR30293573_1.fastq.gz'],739 MB files; 0.1 million reads; 786.8 million sequenced bases
SRR30293578,SAMN39911800,7734A,Genome sequencing of X. hortorum pv. hederae WHRI 7734A,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,688185507,729168227,118828,MG1_7734A_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/078/SRR30293578/SRR30293578_1.fastq.gz'],688 MB files; 0.1 million reads; 729.2 million sequenced bases
SRR30293580,SAMN40354537,MG1_SGP8_C10_10262,Microbe sample from Xanthomonas citri pv. malvacearum,2024-08-23,Sudan,Xanthomonas citri pv. malvacearum,815484806,869335708,129464,MG1_NCPPB_633_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/080/SRR30293580/SRR30293580_1.fastq.gz'],815 MB files; 0.1 million reads; 869.3 million sequenced bases
SRR30293581,SAMN39911798,7732ARx,Genome sequencing of X. hortorum pv. hederae WHRI 7732A,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,1899580006,2035601145,315888,MG1_7732ARx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/081/SRR30293581/SRR30293581_1.fastq.gz'],2 GB files; 0.3 million reads; 2035.6 million sequenced bases
SRR30293582,SAMN39911797,7731ARx,Genome sequencing of X. hortorum pv. hederae WHRI 7731A,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,813055733,872259035,115344,MG1_7731ARx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/082/SRR30293582/SRR30293582_1.fastq.gz'],813 MB files; 0.1 million reads; 872.3 million sequenced bases
SRR30293583,SAMN39911796,7730E,Genome sequencing of X. hortorum pv. hederae WHRI 7730E,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,493235851,525475547,68402,MG1_7730E_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/083/SRR30293583/SRR30293583_1.fastq.gz'],493 MB files; 0.1 million reads; 525.5 million sequenced bases
SRR30293587,SAMN39911792,7720,Genome sequencing of X. hortorum pv. hederae WHRI 7720,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,1237535800,1313908702,235821,MG1_7720_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/087/SRR30293587/SRR30293587_1.fastq.gz'],1 GB files; 0.2 million reads; 1313.9 million sequenced bases
SRR30293597,SAMN40354562,MG1_SGP8_D4_7004,Microbe sample from Xanthomonas arboricola,2024-08-23,United Kingdom,Xanthomonas arboricola,972741133,1047762268,138809,MG1_7004Rx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/097/SRR30293597/SRR30293597_1.fastq.gz'],973 MB files; 0.1 million reads; 1047.8 million sequenced bases
SRR30293599,SAMN40354560,MG1_SGP8_C5_6229A,Microbe sample from Xanthomonas hortorum,2024-08-23,Kenya,Xanthomonas hortorum,1208176603,1277464819,259435,MG1_6229A_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/099/SRR30293599/SRR30293599_1.fastq.gz'],1 GB files; 0.3 million reads; 1277.5 million sequenced bases
SRR30293601,SAMN40354558,MG1_SGP8_C3_6106,Microbe sample from Xanthomonas sp. WHRI 6106,2024-08-23,South Africa,Xanthomonas sp. WHRI 6106,936836113,996722922,168185,MG1_6106_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/001/SRR30293601/SRR30293601_1.fastq.gz'],937 MB files; 0.2 million reads; 996.7 million sequenced bases
SRR30293604,SAMN40354556,MG1_SGP8_C1_6092A,Microbe sample from Xanthomonas hortorum pv. vitians,2024-08-23,Kenya,Xanthomonas hortorum pv. vitians,1100360687,1171101745,188026,MG1_6092ARx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/004/SRR30293604/SRR30293604_1.fastq.gz'],1 GB files; 0.2 million reads; 1171.1 million sequenced bases
SRR30293607,SAMN39911783,5889,Genome sequencing of X. hortorum pv. hederae WHRI 5889,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,627154905,663533969,126013,MG1_5889_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/007/SRR30293607/SRR30293607_1.fastq.gz'],627 MB files; 0.1 million reads; 663.5 million sequenced bases
