study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP401243	SRX17810039	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO221	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334163	IXO221	MinION	253679	2113089573	SRR21820799	253679	2324704112
SRP401243	SRX17810038	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO221	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334163	IXO221	Illumina MiSeq	983475	305397944	SRR21820800	983475	481249635
SRP401240	SRX17809952	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO1088	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334077	IXO1088	MinION	135264	1395927139	SRR21820712	135264	1706662327
SRP401240	SRX17809951	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO1088	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334077	IXO1088	Illumina MiSeq	1434679	439822998	SRR21820713	1434679	694565542
SRP401239	SRX17809950	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO704	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334076	IXO704	MinION	64265	577566063	SRR21820710	64265	705271402
SRP401239	SRX17809949	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO704	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334076	IXO704	Illumina MiSeq	972199	318326715	SRR21820711	972199	473154456
SRP401238	SRX17809947	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO842	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334074	IXO842	MinION	132691	1080646955	SRR21820707	132691	1322022121
SRP401238	SRX17809946	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO842	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334074	IXO842	Illumina MiSeq	2031224	593036078	SRR21820708	2031224	962355018
SRP401236	SRX17809941	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO608	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334069	IXO608	MinION	118115	786238050	SRR21820701	118115	872981959
SRP401236	SRX17809940	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO608	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334069	IXO608	Illumina MiSeq	1579308	500547903	SRR21820702	1579308	776169644
SRP401235	SRX17809939	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO97	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334068	IXO97	MinION	128285	1227950428	SRR21820699	128285	1346581514
SRP401235	SRX17809938	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO97	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334068	IXO97	Illumina MiSeq	2140010	632792316	SRR21820700	2140010	1021114190
SRP401234	SRX17809937	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO365	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334067	IXO365	MinION	104512	1247579619	SRR21820697	104512	1377167117
SRP401234	SRX17809936	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO365	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334067	IXO365	Illumina MiSeq	1629277	502115371	SRR21820698	1629277	777759559
SRP401108	SRX17803401	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO792	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327667	IXO792	MinION	570412	4879972472	SRR21814027	570412	5393373146
SRP401108	SRX17803400	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO792	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327667	IXO792	Illumina MiSeq	2004128	657073245	SRR21814028	2004128	976801352
SRP401103	SRX17803339	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO493	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327606	IXO493	MinION	108323	1217435023	SRR21813965	108323	1344439907
SRP401103	SRX17803338	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO493	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327606	IXO493	Illumina MiSeq	1275466	413692550	SRR21813966	1275466	616502858
SRP401101	SRX17803231	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO630	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327499	IXO630	MinION	285958	2292290369	SRR21813856	285958	2530253583
SRP401101	SRX17803230	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO630	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327499	IXO630	Illumina MiSeq	2191477	668972814	SRR21813857	2191477	1041176917
SRP401100	SRX17803225	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO597	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327494	IXO597	MinION	90366	899727832	SRR21813850	90366	987200982
SRP401100	SRX17803224	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO597	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327494	IXO597	Illumina MiSeq	1479406	489521901	SRR21813851	1479406	725078527
SRP401099	SRX17803212	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO134	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327482	IXO134	MinION	165978	1423254366	SRR21813837	165978	1741154081
SRP401099	SRX17803211	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO134	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327482	IXO134	Illumina MiSeq	2160352	637496468	SRR21813838	2160352	1034285312
SRP401098	SRX17803185	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO98	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327456	IXO98	MinION	131357	1531135903	SRR21813810	131357	1692071586
SRP401098	SRX17803184	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO98	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327456	IXO98	Illumina MiSeq	2172470	702086520	SRR21813811	2172470	1053468235
SRP401097	SRX17803183	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO35	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327455	IXO35	MinION	205757	1705585274	SRR21813808	205757	2086584493
SRP401097	SRX17803182	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO35	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327455	IXO35	Illumina MiSeq	1382070	462975494	SRR21813809	1382070	678982962
SRP401092	SRX17803050	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO74	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327329	IXO74	MinION	167861	1499996145	SRR21813675	167861	1835265049
SRP401092	SRX17803049	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO74	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327329	IXO74	Illumina MiSeq	1718718	530321117	SRR21813676	1718718	821082712
SRP401090	SRX17803038	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO639	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327318	IXO639	MinION	49861	451039922	SRR21813663	49861	494350757
SRP401090	SRX17803037	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO639	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15327318	IXO639	Illumina MiSeq	1186579	397604006	SRR21813664	1186579	580149256
SRP401069	SRX17802166	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO651	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326775	IXO651	MinION	101347	1000794797	SRR21812718	101347	1105598237
SRP401069	SRX17802165	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO651	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326775	IXO651	Illumina MiSeq	1228338	387323917	SRR21812719	1228338	596580033
SRP401067	SRX17802158	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO685	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326768	IXO685	MinION	282274	2177298833	SRR21812710	282274	2405433324
SRP401067	SRX17802157	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO685	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326768	IXO685	Illumina MiSeq	1493615	482325760	SRR21812711	1493615	727472956
SRP401062	SRX17802126	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO220	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326737	IXO220	MinION	140490	614085034	SRR21812678	140490	674241701
SRP401062	SRX17802125	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO220	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326737	IXO220	Illumina MiSeq	934426	280939767	SRR21812679	934426	453802807
SRP401059	SRX17801272	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO644	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326722	IXO644	MinION	68229	502418179	SRR21811824	68229	553019188
SRP401059	SRX17801271	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO644	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326722	IXO644	Illumina MiSeq	2450084	733935354	SRR21811825	2450084	1154983370
SRP401057	SRX17801269	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO675	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326720	IXO675	MinION	74252	612228206	SRR21811821	74252	673002919
SRP401057	SRX17801268	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO675	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15326720	IXO675	Illumina MiSeq	1957258	616739077	SRR21811822	1957258	945984892
SRP394404	SRX17276344	Illumina sequencing of the genome of the Xanthomonas oryzae pv. oryzae strain CIX2779	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS14841133	Xoo_CIX2779	NextSeq 2000	1751707	234334812	SRR21266989	1751707	523890801
SRP394404	SRX17276343	Oxford Nanopore sequencing of the genome of the Xanthomonas oryzae pv. oryzae strain CIX2779	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS14841133	Xoo_CIX2779	MinION	31599	412737426	SRR21266990	31599	469136501
ERP139521	ERX9566624	PacBio RS II sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	ERS12443997	SAMEA110346916	PacBio RS II	163482	7113663424	ERR10025934	163482	2041688466
ERP139521	ERX9566623	PacBio RS II sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	ERS12443997	SAMEA110346916	PacBio RS II	163482	4154870001	ERR10025933	163482	1184165330
ERP139521	ERX9510463	MinION sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	ERS12443998	SAMEA110346917	MinION	262935	2341870678	ERR9968698	262935	2591826317
ERP139521	ERX9510462	MinION sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	ERS12443999	SAMEA110346918	MinION	410124	2397883569	ERR9968697	410124	2653646895
ERP139521	ERX9510459	MinION sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	ERS12443997	SAMEA110346916	MinION	579937	2991500050	ERR9968694	579937	3310475539
ERP139521	ERX9483168	Illumina HiSeq 2500 paired end sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	ERS12443997	SAMEA110346916	Illumina HiSeq 2500	2978197	427413626	ERR9939726	2978197	595639400
DRP008091	DRX278821	PacBio RS II sequencing of SAMD00298581	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	DRS224321	SAMD00298581	PacBio RS II	139240	834369639	DRR289365	139240	1213832868
SRP350123	SRX13371508	WGS of Xanthomonas oryzae pv. oryzae: GXO2016	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS11275902	GXO2016	Illumina HiSeq 2000	1669808	156743921	SRR17188518	1669808	500389994
SRP350123	SRX13371507	WGS of Xanthomonas oryzae pv. oryzae: GXO2016	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS11275902	GXO2016	Sequel II	7993	50804620	SRR17188519	7993	81450148
SRP347834	SRX13226464	RNA-seq of PXO99A	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	PCR	SRS11151482	P2016090846	HiSeq X Ten	6421827	764278392	SRR17036577	6421827	1926548100
SRP347822	SRX13225563	RNA-seq of PXO99A	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	PCR	SRS11150927	2016090846	HiSeq X Ten	6227869	732240304	SRR17035676	6227869	1868360700
SRP343697	SRX12967060	Genome sequencing of Xanthomonas oryzae pv. oryzae strain:GX2001	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS10908554	GXO2001	Illumina HiSeq 2000	2015660	190242339	SRR16767124	2015660	603346278
SRP343697	SRX12967059	Genome sequencing of Xanthomonas oryzae pv. oryzae strain:GX2001	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS10908554	GXO2001	Sequel II	14236	84946995	SRR16767125	14236	146161402
SRP325846	SRX11243049	GSM5403992: Q- rep3; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS9305473	GSM5403992	NextSeq 2000	39062729	2464339761	SRR14930216	39062729	7698002319
SRP325846	SRX11243048	GSM5403991: Q- rep2; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS9305474	GSM5403991	NextSeq 2000	40506287	2569978602	SRR14930215	40506287	8003137712
SRP325846	SRX11243047	GSM5403990: Q- rep1; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS9305472	GSM5403990	NextSeq 2000	37895338	2396528580	SRR14930214	37895338	7474200673
SRP325846	SRX11243046	GSM5403989: BXO43 rep3; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS9305471	GSM5403989	NextSeq 2000	29666248	1871286080	SRR14930213	29666248	5846875567
SRP325846	SRX11243045	GSM5403988: BXO43 rep2; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS9305470	GSM5403988	NextSeq 2000	31240087	1973091996	SRR14930212	31240087	6163185495
SRP325846	SRX11243044	GSM5403987: BXO43 rep1; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS9305469	GSM5403987	NextSeq 2000	32949019	2082146941	SRR14930211	32949019	6519693410
SRP322473	SRX11055301	Mutant Xoo Replicate 3	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SRS9122547	Q-_3_S6_L001	NextSeq 2000	39062729	2455016391	SRR14718238	39062729	7698002319
SRP322473	SRX11055300	Mutant Xoo Replicate 2	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SRS9122546	Q-_2_S5_L001	NextSeq 2000	40506287	2559714947	SRR14718239	40506287	8003137712
SRP322473	SRX11055299	Mutant Xoo Replicate 1	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SRS9122542	Q-_1_S4_L001	NextSeq 2000	37895338	2386802379	SRR14718240	37895338	7474200673
SRP322473	SRX11055298	WT Xoo Replicate 3	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SRS9122544	BXO43-3_S3_L001	NextSeq 2000	29666248	1861235814	SRR14718241	29666248	5846875567
SRP322473	SRX11055297	WT Xoo Replicate 2	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SRS9122543	BXO43-2_S2_L001	NextSeq 2000	31240087	1962925635	SRR14718242	31240087	6163185495
SRP322473	SRX11055296	WT Xoo Replicate 1	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SRS9122545	BXO43-1_S1_L001	NextSeq 2000	32949019	2071069196	SRR14718243	32949019	6519693410
SRP298331	SRX9697970	GSM4978640: 0.6mM As (III) treated rep 2; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894306	GSM4978640	HiSeq X Ten	14757818	1698755843	SRR13267628	14757818	4427345400
SRP298331	SRX9697969	GSM4978639: 0.6mM As (III) treated rep 1; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894305	GSM4978639	HiSeq X Ten	26885505	3113171124	SRR13267627	26885505	8065651500
SRP298331	SRX9697968	GSM4978638: 1mM As (V) treated rep 2; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894304	GSM4978638	HiSeq X Ten	16984528	1982078206	SRR13267626	16984528	5095358400
SRP298331	SRX9697967	GSM4978637: 1mM As (V) treated rep 1; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894303	GSM4978637	HiSeq X Ten	17943589	2083273895	SRR13267625	17943589	5383076700
SRP298331	SRX9697966	GSM4978636: 0.5mM As (V) treated rep 2; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894302	GSM4978636	HiSeq X Ten	19292989	2228145747	SRR13267624	19292989	5787896700
SRP298331	SRX9697965	GSM4978635: 0.5mM As (V) treated rep 1; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894300	GSM4978635	HiSeq X Ten	21056421	2448478955	SRR13267623	21056421	6316926300
